DATE,VALUE
01/1997,288
02/1997,284
03/1997,306
04/1997,279
05/1997,294
06/1997,299
07/1997,288
08/1997,289
09/1997,299
10/1997,293
11/1997,301
12/1997,328
01/1998,292
02/1998,273
03/1998,281
04/1998,260
05/1998,282
06/1998,259
07/1998,257
08/1998,260
09/1998,251
10/1998,266
11/1998,264
12/1998,285
01/1999,250
02/1999,233
03/1999,262
04/1999,244
05/1999,264
06/1999,264
07/1999,253
08/1999,250
09/1999,266
10/1999,281
11/1999,290
12/1999,315
01/2000,294
02/2000,292
03/2000,307
04/2000,297
05/2000,318
06/2000,309
07/2000,312
08/2000,309
09/2000,337
10/2000,324
11/2000,334
12/2000,359
01/2001,319
02/2001,293
03/2001,316
04/2001,284
05/2001,305
06/2001,300
07/2001,296
08/2001,292
09/2001,290
10/2001,286
11/2001,293
12/2001,324
01/2002,288
02/2002,296
03/2002,322
04/2002,290
05/2002,310
06/2002,304
07/2002,303
08/2002,305
09/2002,320
10/2002,316
11/2002,319
12/2002,353
01/2003,320
02/2003,298
03/2003,313
04/2003,223
05/2003,257
06/2003,274
07/2003,284
08/2003,298
09/2003,312
10/2003,326
11/2003,324
12/2003,345
01/2004,321
02/2004,305
03/2004,315
04/2004,292
05/2004,313
06/2004,308
07/2004,313
08/2004,295
09/2004,321
10/2004,325
11/2004,320
12/2004,356
01/2005,330
02/2005,333
03/2005,333
04/2005,319
05/2005,339
06/2005,335
07/2005,351
08/2005,350
09/2005,337
10/2005,337
11/2005,344
12/2005,390
01/2006,363
02/2006,366
03/2006,361
04/2006,351
05/2006,374
06/2006,363
07/2006,379
08/2006,374
09/2006,366
10/2006,376
11/2006,379
12/2006,421
01/2007,378
02/2007,384
03/2007,400
04/2007,375
05/2007,400
06/2007,411
07/2007,412
08/2007,421
09/2007,408
10/2007,415
11/2007,420
12/2007,473
01/2008,417
02/2008,448
03/2008,436
04/2008,420
05/2008,458
06/2008,444
07/2008,456
08/2008,459
09/2008,452
10/2008,481
11/2008,471
12/2008,510
01/2009,486
02/2009,440
03/2009,470
04/2009,458
05/2009,487
06/2009,481
07/2009,490
08/2009,501
09/2009,490
10/2009,509
11/2009,502
12/2009,564
01/2010,527
02/2010,531
03/2010,530
04/2010,528
05/2010,568
06/2010,547
07/2010,564
08/2010,561
09/2010,561
10/2010,590
11/2010,580
12/2010,639
01/2011,613
02/2011,601
03/2011,611
04/2011,610
05/2011,650
06/2011,647
07/2011,672
08/2011,645
09/2011,648
10/2011,674
11/2011,668
12/2011,740
01/2012,734
02/2012,670
03/2012,712
04/2012,699
05/2012,721
06/2012,726
07/2012,734
08/2012,726
09/2012,716
10/2012,732
11/2012,729
12/2012,792
01/2013,735
02/2013,740
03/2013,768
04/2013,735
05/2013,768
06/2013,780
07/2013,773
08/2013,772
09/2013,763
10/2013,778
11/2013,774
12/2013,840
01/2014,836
02/2014,777
03/2014,802
04/2014,772
05/2014,830
06/2014,803
07/2014,807
08/2014,857
09/2014,811
10/2014,849
11/2014,824
12/2014,889
01/2015,827
02/2015,829
03/2015,819
04/2015,779
05/2015,827
06/2015,781
07/2015,818
08/2015,844
09/2015,808
10/2015,835
11/2015,807
12/2015,858
01/2016,844
02/2016,843
03/2016,832
04/2016,816
05/2016,856
06/2016,807
07/2016,873
08/2016,846
09/2016,860
10/2016,865
11/2016,818
12/2016,877
01/2017,931
02/2017,839
03/2017,839
04/2017,813
05/2017,828
06/2017,800
07/2017,859
08/2017,861
09/2017,850
10/2017,860
11/2017,842
12/2017,906
01/2018,834
02/2018,898
03/2018,887
04/2018,824
05/2018,857
06/2018,845
07/2018,874
08/2018,910
09/2018,870
10/2018,877
11/2018,873
12/2018,947
01/2019,889
02/2019,883
03/2019,893
04/2019,847
05/2019,867
06/2019,885
07/2019,900
08/2019,944
09/2019,913
10/2019,926
11/2019,937
12/2019,993
01/2020,1007
02/2020,767
03/2020,720
04/2020,428
05/2020,453
06/2020,531
07/2020,724
08/2020,729
09/2020,694
10/2020,747
11/2020,760
12/2020,860
01/2021,776
02/2021,754
03/2021,784
04/2021,743
05/2021,658
06/2021,562
07/2021,667
08/2021,666
09/2021,708
10/2021,694
11/2021,743
12/2021,896
01/2022,826
02/2022,731
03/2022,801
04/2022,811
05/2022,902
06/2022,878
07/2022,931
08/2022,918
09/2022,902
10/2022,938
11/2022,920
12/2022,1007
01/2023,999
02/2023,881
03/2023,935
04/2023,928
05/2023,976
06/2023,938
07/2023,988
08/2023,994
09/2023,963
10/2023,959
11/2023,934
12/2023,1011
01/2024,942
