DATE,GDP At Current Market Prices,Goods Producing Industries,Accommodation and Food Services,Construction,Utilities,Other Goods Industries,Services Producing Industries,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Finance & Insurance,"Real Estate, Services, Support",Other Services Industries,  Ownership Of Dwellings,  Gross Value Added At Basic Prices,  Add: Taxes On Products
2023 4Q ,2.6,-2,-5.5,11.6,12.9,7.4,3,20.7,-46.7,2.7,8.6,6.3,1.6,5.8,14.3,2.2,9.2
2023 3Q ,-2.8,-7.6,-12.3,11.3,25,9.7,-2.7,7.3,-50.9,19.7,8.9,6.4,4.2,8.6,14,-3.4,10.6
2023 2Q ,-5.8,-12.7,-18.2,15.5,27.3,4.4,-4.7,-0.5,-45.8,24.6,7.2,6.5,6.7,10,13.4,-6.2,2
2023 1Q ,-2,-7.2,-11.9,15.6,21.6,7.6,-1.5,-1.1,-37,48.2,7.5,12.4,5.9,9.8,9.2,-2.6,12.3
2022 4Q ,9.4,7.1,4.2,17.6,28.4,2.7,10.9,15,-2.8,51.1,9.3,12.8,13.8,7.4,11.2,10,-1
2022 3Q ,17.5,9.6,7.6,17.7,27.6,1.5,21.7,25.1,48.3,55.3,8.6,11.9,14.6,11.7,9.5,18,6.9
2022 2Q ,24.5,20.9,21.9,12.6,22.8,0.7,27.9,33.7,88.1,40.1,11.1,9.9,14.7,6.6,7.4,25.3,9.6
2022 1Q ,20.9,24.1,25.3,16,24.7,1.9,21.9,22.6,90.7,3.2,15.1,5.4,14.5,3.6,5.5,21.9,3.6
2021 4Q ,22.9,27.7,27,45.1,3.9,8,22.8,30.5,89.5,1.9,13.5,6.1,10.3,9.8,0.9,23.1,20.6
2021 3Q ,23.1,29.8,25.4,106.3,0.3,11,21.6,27.5,80.5,-2.3,18.3,9.5,11,6.7,0.6,22.8,29.7
2021 2Q ,31.6,43.3,37.7,174,-1.3,34.3,25.7,29.9,87.6,28.5,19.2,10.3,15.4,19.3,0.5,28.8,122.7
2021 1Q ,7.7,8.3,11.4,-6.1,-1.1,4.8,7.3,14.1,51.2,-14,13.3,2.3,-9.5,1,0.8,7.3,15.5
2020 4Q ,-2.8,-6.5,-3.2,-29.2,10.1,5.4,-2.2,2.7,0.2,-30.6,17.8,0.9,-12.5,-6.9,1.4,-3.1,3.3
2020 3Q ,-7.4,-9.5,-2.7,-52.9,-1.2,-7.1,-6.8,-2.3,-3.7,-37.3,13.7,-0.7,-17.3,-13.7,1.8,-7.2,-11.6
2020 2Q ,-14.4,-19.3,-12.6,-66.1,5.3,-15.5,-10.8,-3.2,-17.8,-51.7,9.2,-1.4,-21.6,-20,2,-12.5,-49
2020 1Q ,-0.4,-2.1,-1.2,-10.1,10.1,-1.5,0.3,-2.1,-2.9,-24.2,15.2,8.2,-2.2,-2.2,2,-0.3,-3.1
2019 4Q ,-1.8,-16.2,-19.3,-1.8,-0.5,4.7,3.4,0.8,5,-0.5,14.2,11.3,-1.2,0.4,3.9,-2,3
2019 3Q ,0.3,-6.3,-7.9,0.2,3.3,10.5,2.5,-0.5,0.3,0.8,14.9,8.6,-3.2,5.2,3.4,0.1,4.5
2019 2Q ,2.1,-0.1,-0.5,3,-2.5,5.3,3.6,4.1,3.6,1,12.9,7.7,-3.5,4,3.7,2.6,-7.1
2019 1Q ,4.3,8,9.3,3.4,1.3,11.8,3.9,6.8,-0.9,3.9,12.2,7.5,-2.4,2.9,4.9,5,-6.7
2018 4Q ,5.8,14.8,18.2,0.7,2.3,13.1,4.9,6.4,-2.1,5.6,11,7.4,3.2,3.8,1.9,7.3,-17.3
2018 3Q ,9.9,22,27.1,1,6.6,1.2,8.1,16.2,-1.3,5.7,6.9,9.6,4.8,4.5,2.5,11.4,-13.2
2018 2Q ,8.4,17.9,22.7,-1.6,7.8,4.9,6.2,11,-5.7,5.9,4.1,11,4.5,3.6,2,8.9,1.5
2018 1Q ,5,8.2,10.6,-2.4,6.7,0.8,4.6,0.9,0.5,2.4,0.5,13.4,4.9,5,0.8,5.4,-0.5
2017 4Q ,8.1,11.4,15.8,-3.8,-1.8,1.7,6.6,3.5,14.5,2.6,4.6,12.3,2.8,7.8,0.6,7.5,18.1
2017 3Q ,6.7,8.7,14.5,-11,-2.6,20.7,6.5,5,19.1,0.1,4.2,12.2,2,4.2,-0.9,6.8,6.4
2017 2Q ,6.4,4,9.1,-14.2,0.9,-1.7,7.7,11.3,15.4,0.9,3.1,11,1.8,5.5,-1.1,6.4,6.5
2017 1Q ,8.8,11.1,17.8,-7.8,-4.7,-0.3,9.2,26.9,6.6,3.3,8,5.1,-0.2,6.3,-2.1,9.2,3.3
2016 4Q ,6.9,5.9,10.6,-9.7,0.3,5.7,7.6,22.8,-4.5,3,9.8,3.2,1.4,6.2,-2.3,6.7,9.5
2016 3Q ,3.5,-1.3,-0.3,-5.5,0.1,-5.6,5.1,14,-9.3,6.2,12.1,1.9,2.4,6.4,-3,3.1,9.9
2016 2Q ,3,-2.7,-3.3,-0.3,-3.5,4.2,5.6,10.5,-6.5,5.5,13.9,3.6,5.7,5.7,-3.4,3,2.8
2016 1Q ,2.9,-3.5,-5,2.9,-6.6,-0.6,4.4,3.6,-9.9,4.9,13.1,4.5,10.1,4.5,-2.5,2.1,16.8
2015 4Q ,5.4,5.5,5.8,5.5,2.6,-2.3,5.5,6.3,0.7,1,2.4,7.1,9.2,2.6,-0.5,5.2,7.9
2015 3Q ,6.7,5.3,5,6.7,4.4,-0.3,7.1,5.3,8.5,1.8,-0.6,8.5,10.7,6.5,1.3,6.4,12.9
2015 2Q ,6.2,8.9,8.8,10.1,6.1,0.6,5,-1.7,14.2,-0.3,0.5,8.5,7.9,5.1,2.6,5.9,10.7
2015 1Q ,6.3,6.9,7.1,3.9,16.5,2.9,5.7,-4.7,22,1.9,-1.5,10,7.9,7.5,3.4,5.9,15.1
2014 4Q ,4.5,4.5,2.9,9.5,9.2,1.8,4.8,-4.9,13.1,8.6,5.3,9.2,7.1,6.8,3.3,4.6,1.6
2014 3Q ,3.7,6.8,5.9,12.1,2.9,5.7,2.8,-7.6,10.8,8.3,8.5,9.6,3.3,4.5,3,3.8,1.8
2014 2Q ,2.9,7.2,6.6,12.6,-0.4,4.7,2,-4.3,4.5,3.1,5.9,4.7,3.3,5.2,2.8,3.4,-4.4
2014 1Q ,3.5,9.1,8.1,14.3,5,4.5,2.5,-5.2,8.9,2.4,8.3,5.3,2.3,6.8,3.6,4.1,-6.6
2013 4Q ,4.8,2.6,2,6.7,-3.1,10.2,6.3,2,8.2,2.9,5.2,15.3,5.6,5.8,5.8,5.3,-2.2
2013 3Q ,6.4,1.8,1.5,4.2,-2.2,11.3,8.2,4.4,5.2,2.9,8.4,13.2,10,10.7,8.2,6.5,5.3
