DATE,VALUE
01/1997,2656
02/1997,1703
03/1997,2027
04/1997,1934
05/1997,1961
06/1997,1991
07/1997,2154
08/1997,1930
09/1997,2010
10/1997,1861
11/1997,1863
12/1997,2048
01/1998,2308
02/1998,1531
03/1998,1522
04/1998,1888
05/1998,1711
06/1998,1685
07/1998,1729
08/1998,1584
09/1998,1526
10/1998,1521
11/1998,1651
12/1998,1947
01/1999,1829
02/1999,1537
03/1999,1644
04/1999,1644
05/1999,1717
06/1999,1865
07/1999,1771
08/1999,1806
09/1999,1869
10/1999,1807
11/1999,1850
12/1999,2068
01/2000,2383
02/2000,1565
03/2000,1909
04/2000,1914
05/2000,1952
06/2000,2117
07/2000,2098
08/2000,1925
09/2000,2005
10/2000,1796
11/2000,2002
12/2000,2240
01/2001,2252
02/2001,1696
03/2001,2042
04/2001,1793
05/2001,1846
06/2001,1850
07/2001,1797
08/2001,1870
09/2001,1691
10/2001,1698
11/2001,1822
12/2001,2111
01/2002,2090
02/2002,1665
03/2002,2019
04/2002,1822
05/2002,1766
06/2002,1835
07/2002,1973
08/2002,1846
09/2002,1793
10/2002,1835
11/2002,1977
12/2002,2388
01/2003,2421
02/2003,1565
03/2003,1930
04/2003,1831
05/2003,2029
06/2003,1946
07/2003,2072
08/2003,1890
09/2003,1940
10/2003,1998
11/2003,2082
12/2003,2510
01/2004,2442
02/2004,2106
03/2004,2248
04/2004,2053
05/2004,2138
06/2004,2242
07/2004,2214
08/2004,2064
09/2004,2131
10/2004,2262
11/2004,2330
12/2004,2612
01/2005,2778
02/2005,2078
03/2005,2558
04/2005,2350
05/2005,2363
06/2005,2486
07/2005,2516
08/2005,2341
09/2005,2425
10/2005,2599
11/2005,2450
12/2005,2914
01/2006,3016
02/2006,2181
03/2006,2858
04/2006,2545
05/2006,2697
06/2006,2622
07/2006,2615
08/2006,2425
09/2006,2513
10/2006,2657
11/2006,2681
12/2006,3094
01/2007,3044
02/2007,2640
03/2007,2773
04/2007,2619
05/2007,2813
06/2007,3079
07/2007,2619
08/2007,2645
09/2007,2744
10/2007,2838
11/2007,2741
12/2007,3239
01/2008,3342
02/2008,2642
03/2008,2954
04/2008,2844
05/2008,2986
06/2008,3001
07/2008,2958
08/2008,2797
09/2008,2999
10/2008,2812
11/2008,2742
12/2008,3335
01/2009,3076
02/2009,2616
03/2009,2893
04/2009,2664
05/2009,2828
06/2009,2904
07/2009,2828
08/2009,2817
09/2009,2786
10/2009,2821
11/2009,2826
12/2009,3306
01/2010,3174
02/2010,2733
03/2010,2877
04/2010,2658
05/2010,2726
06/2010,2764
07/2010,2845
08/2010,2848
09/2010,2896
10/2010,2896
11/2010,2979
12/2010,3552
01/2011,3441
02/2011,2553
03/2011,3071
04/2011,3063
05/2011,3187
06/2011,3275
07/2011,3362
08/2011,3138
09/2011,3072
10/2011,3329
11/2011,3316
12/2011,3865
01/2012,3660
02/2012,3165
03/2012,3443
04/2012,3214
05/2012,3279
06/2012,3315
07/2012,3331
08/2012,3324
09/2012,3232
10/2012,3379
11/2012,3374
12/2012,3941
01/2013,3730
02/2013,3226
03/2013,3362
04/2013,3389
05/2013,3585
06/2013,3383
07/2013,3261
08/2013,3272
09/2013,3234
10/2013,3243
11/2013,3266
12/2013,3935
01/2014,4028
02/2014,3081
03/2014,3494
04/2014,3237
05/2014,3461
06/2014,3424
07/2014,3450
08/2014,3451
09/2014,3350
10/2014,3537
11/2014,3482
12/2014,4119
01/2015,3800
02/2015,3499
03/2015,3526
04/2015,3353
05/2015,3610
06/2015,3613
07/2015,3574
08/2015,3626
09/2015,3448
10/2015,3603
11/2015,3624
12/2015,4223
01/2016,4110
02/2016,3435
03/2016,3754
04/2016,3513
05/2016,3783
06/2016,3734
07/2016,3746
08/2016,3676
09/2016,3578
10/2016,3740
11/2016,3707
12/2016,4306
01/2017,4270
02/2017,3386
03/2017,3847
04/2017,3543
05/2017,3791
06/2017,3783
07/2017,3775
08/2017,3774
09/2017,3548
10/2017,3735
11/2017,3892
12/2017,4569
01/2018,3948
02/2018,3676
03/2018,3813
04/2018,3591
05/2018,3808
06/2018,3863
07/2018,3697
08/2018,3777
09/2018,3631
10/2018,3773
11/2018,3841
12/2018,4331
01/2019,4286
02/2019,3351
03/2019,3828
04/2019,3565
05/2019,3778
06/2019,3556
07/2019,3674
08/2019,3648
09/2019,3583
10/2019,3638
11/2019,3701
12/2019,4210
01/2020,4022
02/2020,3090
03/2020,3329
04/2020,2156
05/2020,1840
06/2020,2594
07/2020,3384
08/2020,3473
09/2020,3238
10/2020,3369
11/2020,3699
12/2020,4137
01/2021,3827
02/2021,3322
03/2021,3609
04/2021,3397
05/2021,3398
06/2021,3354
07/2021,3462
08/2021,3450
09/2021,3519
10/2021,3681
11/2021,3831
12/2021,4455
01/2022,4319
02/2022,3213
03/2022,3931
04/2022,3800
05/2022,3994
06/2022,3835
07/2022,3926
08/2022,3877
09/2022,3881
10/2022,4039
11/2022,4055
12/2022,4767
01/2023,4238
02/2023,3591
03/2023,4082
04/2023,3920
05/2023,4049
06/2023,3865
07/2023,3976
08/2023,4041
09/2023,3906
10/2023,4021
11/2023,4137
12/2023,4745
01/2024,4294
